1. Faixa etária:;2. Gênero:;3. Universidade pública do Estado do Paraná em que atua:;5. Área principal de atuação docente:;7. Tempo de docência no Ensino Superior (não somente na atual IES):;8. Maior titulação acadêmica concluída:;9. Minha formação inicial abordou adequadamente o uso pedagógico de tecnologias digitais educacionais.;10. Sinto-me preparado(a) para incorporar novas tecnologias digitais educacionais às minhas práticas docentes.;11. Já tive contato formativo com o tema Inteligência Artificial aplicada à educação.;12. Nos últimos 24 meses, participei de formações continuadas em tecnologias educacionais.;13. Tenho uma compreensão clara do que é Inteligência Artificial e de como ela funciona em termos gerais.;14. Conheço a diferença entre Inteligência Artificial tradicional (preditiva) e Inteligência Artificial generativa (criativa).;15. Já utilizei ferramentas de IA generativa em contextos pessoais ou profissionais.;16. Sinto-me confiante para avaliar criticamente respostas ou conteúdos gerados por ferramentas de IA.;17. Considero que a IA terá impacto significativo no ensino superior nos próximos anos.;18. Quais ferramentas de IA você já utilizou ao menos uma vez?  ;19. Para quais finalidades você usa IA?  ;20. Utilizo ferramentas de IA para apoiar o planejamento de aulas e atividades didáticas.;21. Utilizo IA para criar ou adaptar materiais didáticos considerando o perfil dos estudantes.;22. Integro a IA em atividades de ensino alinhadas a objetivos pedagógicos claros.;23. Utilizo IA para apoiar processos de avaliação formativa (feedback, rubricas, análise de produções).;24. Consigo identificar limites, riscos e implicações éticas do uso da IA em processos avaliativos.;25. Considero aspectos éticos (viés, privacidade, autoria) ao utilizar IA em contextos educacionais.;26. Discuto com meus estudantes o uso responsável e crítico da IA.;27. Busco ativamente atualizar-me sobre IA e suas implicações para a educação.;28. Compartilho, discuto ou oriento colegas sobre práticas pedagógicas envolvendo IA.;29. A formação docente em IA generativa pode contribuir para a melhoria da qualidade do ensino superior.;30. O uso pedagógico adequado da IA pode tornar as aulas mais engajadoras e significativas.;31. A formação em IA pode apoiar práticas pedagógicas mais inclusivas e personalizadas.;32. Sem formação adequada, o uso da IA pode gerar impactos negativos na educação superior.;33. Existe alguma orientação/política institucional (ou do curso/departamento) sobre uso de IA por docentes e estudantes na IES onde atua?  ;"34. Na sua opinião, qual é a principal dificuldade para a adoção, o uso, de IA no ensino superior? 
(Marque até 2 opções)";35. Se você pudesse participar de uma formação docente, qual seria o seu formato preferido?;36. Qual a quantidade de horas que você acha ideal ter para uma formação docente (independente do formato)?;37. Quais são, em sua opinião, as principais dificuldades para o uso pedagógico da IA no ensino superior?;38. Quais conhecimentos ou competências você considera prioritários em uma formação docente sobre IA e IA generativa, no contexto universitário?;39. Como você acredita que uma formação em IA pode impactar sua prática docente e a aprendizagem dos estudantes universitários?
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;4;5;2 - 3;4;4;5;1;5;ChatGPT, Copilot, Gemini, Manus;Criação de materiais didáticos;2;2;0;0;3;5;5;4;5;5;5;5;5;Não sei informar;Falta de formação docente específica, Resistência institucional ou pessoal;Totalmente remoto (online);menos de 20 Horas;;;
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;2;4;5;6 ou mais;5;4;5;4;5;ChatGPT, Copilot, Gemini, Claude, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;3;3;3;3;3;4;5;6;5;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;Uso indiscriminado dos estudantes, sem análise crítica.;Discussão sobre ética e plágio. ;"Aumentar engajamento e reduzir tempo das atividades operacionais. 
"
41 a 50 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;3;5;1;Nenhuma;5;5;5;5;5;ChatGPT, Copilot, Gemini, Claude, Perplexity;Comunicação administrativa;4;3;3;0;6;5;5;5;5;5;5;5;5;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente presencial;menos de 20 Horas;Preconceito em relação ao uso de IA. ;Entendimento de construção de prompts;Acredito que ela pode impactar do ponto de vista da melhoria de minhas condições de elaboração de materiais.
Até 30 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Menos de 2 anos;Doutorado;1;2;4;4 - 5;5;5;5;2;5;ChatGPT, Gemini;Pesquisa acadêmica;0;0;0;0;3;3;4;4;4;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;30 horas;Tenho muita dificuldade em utilizar IA para as minhas práticas cotidianas, pois sinto que me limita enquanto pensamento crítico e criativo. Sei que este não é o objetivo, mas gosto de criar coisas sabendo que foi de experiências diversas acadêmicas, profissionais e pessoais, não sugeridas por algo externo. Nesse sentido, gosto de aperfeiçor as minhas avaliações e planos de aula a partir das experiências com as turmas, personalizando as avaliações escritas de modo que alcance os meus estudantes com o conteúdo lecionado ao longo do semestre.;Para mim, principalmente na criação dos PROMPT, pois me sinto ainda limitada em dar os comandos quando vou testar novas ferramentas. Além disso, gostaria de ver mais modelos de usos práticos conscientes e críticos, que não repita mais do mesmo e que os alunos não percebam escancaradamente que foi utilizada IA inteiramente.;Pode impactar significativamente. Tenho buscado cursos que me instruam e me atualizem para que possa incorporar nas aulas, mas ainda sinto bastante dificuldade. Vamos aprendendo...
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;2;1;4 - 5;4;2;4;5;5;ChatGPT;Comunicação administrativa;0;0;0;0;3;6;3;2;1;5;5;5;5;Não sei informar;Falta de formação docente específica;Totalmente remoto (online);mais de 40 horas;Questões éticas;Como identificar trabalhos de alunos realizados por IA;Vai proporcionar conhecimento sobre as ferramentas que podemos utilizar no processo. 
31 a 40 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;6 a 10 anos;Doutorado;1;5;5;6 ou mais;5;5;5;5;5;ChatGPT, Gemini, Claude, Perplexity, DALL·E/Midjourney/Leonardo;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;4;4;4;0;4;4;4;4;4;2;4;4;5;Sim, mas pouco clara;Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;;;
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Linguagens, Letras e Artes;6 a 10 anos;Doutorado;2;2;1;Nenhuma;2;1;1;5;3;Nenhuma;Ainda não utilizei IA;0;0;0;0;0;0;1;0;0;1;1;1;3;Não sei informar;Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;;;
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;3;3;2 - 3;3;3;3;3;4;ChatGPT, Gemini;Elaboração de atividades/exercícios;2;2;2;2;2;4;0;1;2;4;4;4;5;Não existe;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;20 horas;Falta de conhecimentos das ferramentas disponíveis.;Éticos;Otimização de tempo e criatividade
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;2;Nenhuma;4;2;4;4;4;ChatGPT, Copilot, Gemini, Perplexity;Orientação de estudantes, Comunicação administrativa;1;1;1;1;4;6;4;4;5;4;4;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Questões éticas, estruturais e dificuldade de escolha do formato.;Demonstrações de uso prático ;Positivamente 
51 a 60 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;2;Apenas 1;4;5;1;4;4;Gemini;Ainda não utilizei IA;0;0;0;0;3;5;5;3;1;3;3;3;5;Sim, mas pouco clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente presencial;20 horas;Na Unicentro IA está sendo promovida por coach, acriticamente, em discussões sem aprofundamentos e sem respeito pelos professores veteranos;"Limites da IA nos processos de aprendizagem;  cuidados com uso excessivo";Não sei. Quem sabe?
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Linguagens, Letras e Artes;11 a 20 anos;Doutorado;1;4;5;2 - 3;4;4;5;4;5;ChatGPT, Copilot, Gemini, Claude, Perplexity;Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;3;3;3;3;3;6;6;6;3;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente remoto (online);30 horas;A resistência dos professores, o desconhecimento e a falta de tempo para poder aprender.;Como criar bons prompts, como usar a IAG a seu favor...;A melhorar a prática
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;3;5;3;Nenhuma;5;5;5;4;5;ChatGPT, Copilot, Gemini, NotebookLM;Planejamento de aula, Elaboração de atividades/exercícios;3;3;3;0;3;6;6;4;2;5;5;5;5;Sim, bem clara;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;Resistência de alguns profissionais que tentam proibir o uso, evolução e surgimento muito rápido de ferramentas (como escolher uma? Será que seria a melhor?), custo dessas ferramentas após o uso continuado;entendimento do que as ferramentas de IA oferecem de verdade, questões éticas e legais, riscos de vazamento de dados, seleção de ferramentas adequadas para diferentes fins e prática com algumas ferramentas;me deixar mais ágil e segura no uso da IA, reduzir o tempo para produzir certas coisas
31 a 40 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;2 a 5 anos;Mestrado;1;3;4;Apenas 1;5;4;5;5;4;ChatGPT, Copilot, Gemini, Perplexity, Gama, notbook Lm, consensus, scispace, Manu ;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;0;1;0;6;6;4;3;1;5;5;5;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;menos de 20 Horas;Saber como adaptar ao ensino;Compreender o uso e leitura crítica do q a i gera ;Acredito que pode apoiar em uma organização de aula mais ativa e ética 
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;4;5;6 ou mais;4;1;3;2;5;ChatGPT, Claude, Perplexity, DALL·E/Midjourney/Leonardo, Consensus, notebook LM;Planejamento de aula, Criação de materiais didáticos, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;3;3;3;3;4;4;4;5;3;5;5;5;5;Sim, bem clara;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);mais de 40 horas;Falta de tecnologia instucional, e tempo para conhecer todas as IAs que existem;Saber executar os comandos e as IAs corretas para minhas necessidades.;Aprimoramento de pesquisas, agilidade, aumentar os conhecimentos e engajamento dos alunos
41 a 50 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;2;2;1;Nenhuma;2;1;1;1;4;ChatGPT;Pesquisa acadêmica;0;0;0;0;1;3;0;0;0;4;4;3;4;Sim, bem clara;Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);30 horas;Domínio pessoal das ferramentas;Domínio sobre o uso e as aplicações possíveis;"Atualização; Aproximação com os estudos; Ganho de tempo; Interatividade nas aulas."
41 a 50 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;6 a 10 anos;Especialização;2;3;3;2 - 3;3;4;4;4;5;ChatGPT, Gemini, NOTEBOOKLM;Criação de materiais didáticos, Pesquisa acadêmica;2;2;1;0;2;2;1;1;1;4;4;4;3;Não existe;Falta de tempo para explorar ferramentas;Híbrido;menos de 20 Horas;FALTA DE CONHECIMENTO SÓLIDO SOBRE O TEMA;USO ÉTICO DA IA;SIM
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;1;4;4;Nenhuma;5;3;5;3;5;ChatGPT, Copilot, Gemini, Claude, Perplexity, Manus, notebooklm, grook;Planejamento de aula, Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;5;5;5;0;6;6;6;4;5;5;5;5;5;Sim, bem clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;40 horas;"De maneira geral (e não individualmente), a falta de formação na área e o preconceito com a tecnologia.
Individualmente gostaria de explorar mais, mas me falta tempo.";Como aplicar as ferramentas de IA na produção de materiais didáticos e organização de aulas engajadoras.;"Querendo ou não a IA já está afetando a educação como um todo, e acredito que o impacto será maior do que o imaginado até aqui. Portanto a formação em IA se torna fundamental e estratégica para que esse impacto seja positivo.
"
31 a 40 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;6 a 10 anos;Doutorado;1;4;4;Apenas 1;5;5;5;4;5;ChatGPT, Copilot, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback;3;3;3;3;3;6;6;5;3;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente remoto (online);mais de 40 horas;O uso crítico, ético e adequado das ferramentas.;Prática e articulação com metodologias ativas de ensino.;No aprimoramento de metodologias ativas.
51 a 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;4;3;2 - 3;5;5;5;3;5;ChatGPT, Gemini, Claude, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;4;4;4;4;2;4;4;4;3;5;5;5;4;Não sei informar;"Falta de formação docente específica, Necessidade de pagamento: se assinarmos cada ferramenta ( cada IA tem uma utilidade principal, por exemplo, Gamma para slides) o custo é alto; por outro lado, as versões gratuitas não são suficientes. ";Totalmente remoto (online);menos de 20 Horas;Falta de formação e custo elevado;"Limites éticos; segurança; confiabilidade das informações ";Pode me capacitar mas questões que citei anteriormente ( confiabilidade das informações, segurança, etc)
Acima de 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;2;5;Apenas 1;5;4;4;2;5;ChatGPT;Pesquisa acadêmica;0;0;0;0;0;0;1;1;0;5;5;5;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);40 horas;Receio de perder a criatividade intlectual. E a ignorância da ferramenta.;Como organizar as perguntas adequadas à ferramenta para o que intencionalmente deseja ensinar e envolver os estudantes com novidades acadêmicas.;Não tenho essa percepção formada, já que sou ignorante com relação a ferramenta.
31 a 40 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;2 a 5 anos;Doutorado;3;4;4;2 - 3;5;5;5;4;5;ChatGPT, Copilot, Gemini;Avaliação/feedback, Comunicação administrativa;1;1;2;2;6;6;4;6;2;5;4;4;5;Não sei informar;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;até que ponto ela atua como suporte e quando ela passa a substituir a criatividade do docente, gerando preguiça cognitiva;desmistificar a fórmula IA = cola ou plágio, ao mesmo tempo que enfocar no uso da IA como apoio, não substituição do trabalho e criatividade docente ;"pode impactar muito, contanto que seja menos ""catequética"" e mais dialógica com a realidade docente cotidiana"
31 a 40 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;6 a 10 anos;Doutorado;3;5;4;Apenas 1;5;5;5;5;5;Claude;Elaboração de atividades/exercícios;0;0;0;2;6;6;6;4;0;3;3;3;3;Não sei informar;Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;A IA está em constante evolução, não vamos conseguir acompanhar. Os diferentes acessos entre professores e estudantes (pago, gratuito, pró-...) aumentam o risco de desigualdades na aprendizagem. Alinhar: conteúdo, docente, estudante, IA.;Ética de uso e privacidade;Depende de como for conduzido o curso. Já fiz e achei básico demais, pouco aplicado a minha realidade. Antes de montar um curso, os idealizadores deveriam conhecer a realidade de cada curso e disciplinas. A opinião do professor é importante, a opinião do estudante também. Sem isso, é só mais uma formação sem aplicação real.
51 a 60 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;2;4;4 - 5;4;3;4;1;5;ChatGPT, Gemini, Claude;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;3;3;3;3;3;3;4;4;4;5;5;5;5;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);30 horas;;;
Acima de 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;4;5;Nenhuma;5;5;5;5;5;ChatGPT, Copilot, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;4;4;3;6;6;6;6;6;6;5;5;5;3;Sim, bem clara;Falta de tempo para explorar ferramentas;Híbrido;20 horas;;;
31 a 40 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;Menos de 2 anos;Mestrado;2;4;4;Apenas 1;4;2;2;4;2;ChatGPT, Gemini, NotebookLM, Concensus, Deepseek;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;1;0;2;4;5;5;4;2;2;3;5;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);40 horas;Tempo para compreender as ferramentas e as questões éticas do uso.;Questões de ética no uso de IA;O uso excessivo de IA reduz a criticidade para discussões das temáticas, dessa forma acaba sendo um ferramenta que agiliza a preparação das aulas, mas ao mesmo tempo empobrece a criticidade do professor e dos alunos.
51 a 60 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;1;1;Nenhuma;1;1;2;1;5;ChatGPT, Copilot, Gemini, notebooklm;Avaliação/feedback;2;0;1;1;0;1;0;2;0;5;5;5;5;Não sei informar;Falta de formação docente específica;Totalmente remoto (online);30 horas;falta capacitação;Os que são imprescindíveis;Eu acho que fara grande diferença e aprimorara a minha pratica docente.
41 a 50 anos;Feminino;Universidade Estadual do Paraná - UNESPAR;Linguagens, Letras e Artes;2 a 5 anos;Doutorado;1;2;1;Nenhuma;5;4;5;5;5;ChatGPT, Copilot, Gemini, Claude;Planejamento de aula, Elaboração de atividades/exercícios, Comunicação administrativa;2;2;1;0;5;6;5;4;4;5;3;4;5;Não existe;Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Híbrido;30 horas;Falta de formação específica. Ausência de apoio institucional. Falta de tempo para estudar a ferramenta devido às demais demandas do trabalho.;Discernimento no conhecimento e nas informações criadas pela IA. ;A pratica docente pode ganhar mais complexidade. Em relação à aprendizagem, eu ainda não tenho opinião formada de estudantes de graduação devem usar a IA em seus processos de formação
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;4;4;2 - 3;5;5;5;5;5;ChatGPT, Gemini, Notebook LM;Planejamento de aula, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;4;4;4;4;4;4;5;4;5;5;5;5;5;Não existe;Falta de tempo para explorar ferramentas;Totalmente remoto (online);40 horas;Limites éticos e tempo para planejar melho o uso da IA e para aprender a usar melhor as IAs. ;A parte técnica é mais difícil. ;Porque quanto mais conhecimento técnico em relação a algo melhor. 
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;6 a 10 anos;Doutorado;2;5;5;6 ou mais;4;3;5;4;5;ChatGPT, Copilot, Gemini, Perplexity, Consensus, canva, research rabit ;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes;4;4;5;1;5;5;5;5;4;5;5;5;5;Sim, bem clara;Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);40 horas;Custo;;
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;2;4;4;2 - 3;5;3;5;5;5;ChatGPT, Copilot, Gemini, Claude;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;3;3;3;3;3;3;3;3;5;5;5;5;Não existe;Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);30 horas;O custo para utilização de IAs melhores e a dificuldade de fornecer prompts que atendam exatamente o que eu quero ;Geração de prompts, e como selecionar a melhor IA em casos específicos;Fornecer materiais mais ricos de exemplos práticos e fazer os alunos se interessarem pelos conetúdos
31 a 40 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;6 a 10 anos;Doutorado;1;5;5;6 ou mais;4;5;5;3;5;ChatGPT, Copilot, Gemini, Claude, Perplexity, DALL·E/Midjourney/Leonardo, Notebook Lm;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;4;2;6;0;0;0;0;2;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;;;
51 a 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Multidisciplinar / Outra;Mais de 20 anos;Doutorado;1;5;3;2 - 3;4;5;5;3;5;ChatGPT, Gemini, Perplexity;Criação de materiais didáticos, Elaboração de atividades/exercícios, Orientação de estudantes, Comunicação administrativa;2;3;2;2;1;2;3;3;1;5;5;5;4;Sim, mas pouco clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);30 horas;apresentação clara das diferentes IA disponíveis no mercado e o uso correto dos seus comandos, elaboração de prompts;Domínio correto do uso  ferramentais, segurança, e especial uso para detecção do uso em artigos e pesquisas strito sensu, as quais ultrapassem os limites permitidos e regulamentados pelo MEC .;"ah certamente um acréscimo no domínio das ferramentas, na agilidade de tempo, no refinamento dos resultados, e aprimoramento e fluidez dos textos;."
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;3;2;Apenas 1;4;3;5;3;5;ChatGPT, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Comunicação administrativa;3;3;2;2;2;2;2;2;3;5;5;5;5;Não sei informar;Falta de infraestrutura tecnológica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);40 horas;Valor alto das ferramentas integradas pois as gratuitas são limitadas. ;Aplicação e exemplos na área que atuo que demonstre os resultados de tal aplicação com estudantes. ;Maior segurança, maior flexibilidade e otimização de tempo além de maiores possibilidades de aulas mais criativas e engajamento dos estudantes 
41 a 50 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;4;3;3;2 - 3;4;3;3;3;3;Nenhuma;Ainda não utilizei IA;0;0;0;0;0;0;0;0;0;3;3;3;3;Não sei informar;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;20 horas;Origem das informações ;Não considero prioridade ;Maior segurança 
51 a 60 anos;Feminino;Universidade Estadual do Paraná - UNESPAR;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;4;4;2 - 3;4;4;4;3;3;Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;3;3;3;3;4;5;3;4;3;3;2;3;Sim, mas pouco clara;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;Resistência dos professores;"Metodologias ativas; sala de aula invertida";Utilizando de forma que os estudantes analisem criticamente as ações que serão desenvolvidas
41 a 50 anos;Masculino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;3;4;4;4 - 5;4;5;4;4;5;ChatGPT, Copilot, Gemini, Claude;Avaliação/feedback, Pesquisa acadêmica, Comunicação administrativa;2;2;2;0;4;4;4;2;3;4;4;4;4;Sim, bem clara;Falta de formação docente específica, Falta de infraestrutura tecnológica;Híbrido;20 horas;formacao;informatica;atrativo e inovador
Acima de 60 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;Mais de 20 anos;Mestrado;1;5;1;Nenhuma;3;1;4;1;5;Copilot, Claude;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;3;3;3;0;0;2;6;2;6;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente presencial;20 horas;"Os alunos precisam saber USAR, não só copiar
Há uma diferença enorme entre usar a IA como ferramenta de aprendizagem e simplesmente colar respostas prontas. Sem orientação, a maioria faz o segundo.
2. O professor precisa chegar antes do aluno
Se o docente não conhece a ferramenta, não consegue perceber o uso inadequado, nem ensinar o uso correto. A capacitação não é opcional,  é urgente.
3. Ética não é proibição,  é formação
Não adianta proibir o que já está na mão de todo mundo. O caminho é ensinar a questionar, verificar fontes, citar, adaptar e assumir autoria.

AMOS APRENDER A USAR A IA DE FORMA CORRETA.";"Nós precisamos  entendermos o que é: 

O que é Inteligência Artificial e como funciona
O que diferencia a IA generativa das demais
Quais ferramentas existem e para que servem (ChatGPT, Claude, Gemini, Copilot, etc.)
Quais são os limites e as falhas dessas ferramentas

Ética e Uso Responsável
Competência mais urgente na formação docente:

Compreender os riscos de plágio, desinformação e dependência tecnológica
Saber orientar os alunos sobre autoria, citação e responsabilidade
Conhecer as diretrizes institucionais sobre uso de IA
Refletir sobre vieses algorítmicos e seus impactos sociais

Competência Pedagógica e Didática
Saber integrar a IA à prática de ensino:

Redesenhar atividades que a IA não substitua , como debates, casos reais e produções autorais
Usar a IA como ferramenta de apoio ao planejamento de aulas
Criar avaliações que exijam pensamento crítico e não apenas respostas geradas
Orientar o aluno a usar a IA como ponto de partida, nunca como resposta final.

 IA muda muito rápido,  e  nós precisamos de :

Disposição para aprender continuamente
Participarmos em comunidades de prática e formações
Sem medo de errar";"
-  Planejamento de aulas, e adaptar conteúdos para diferentes níveis de aprendizagem; 
 - Avaliações mais criativas e desafiadoras
-  Mais foco em análise crítica, criatividade e resolução de problemas reais

- A IA pode apoiar o professor em: correções ortográficas e gramaticais

- Quando o professor ensina a questionar a IA, o aluno aprende a:

Verificar fontes e dados
Identificar erros e vieses
Não aceitar respostas sem reflexão


"
